_id,objectid,fld_ar_id,fld_zone,floodway,sfha_tf,static_bfe,v_datum,depth,len_unit,velocity,vel_unit,ar_revert,bfe_revert,dep_revert,source_cit,global_id,shape_length,shape_area
5116,1,177,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,25d51320-f9d6-484a-9973-2dbc04bd0b8c,2298.83293956623,19178.625
5117,2,178,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,a4ffcd1a-7b76-4a10-b37d-284a1dd8786a,8016.38746718538,176244.296875
5118,4,180,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1937bc1f-6a6a-4875-b88b-d5df8e84e381,132.879458583641,514.59375
5119,6,274,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3b4ef895-f325-45fa-b334-3127c7f571a7,2446.37889755417,46683.44921875
5120,7,350,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,2c96ea75-719e-483d-ac68-5c35f95a81c4,3747.60464855764,52735.73046875
5121,8,545,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,60dbda51-d0bd-400a-a0f9-53974cec5615,126.590856073818,160.234375
5122,9,357,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,34cce7e4-14d7-4c9a-8dab-019d559cac9c,3398.15479880734,15806.109375
5123,13,445,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,6ea6dc25-f439-4ee6-8ee8-43c09ab5eb52,133.453302162205,191.96484375
5124,15,508,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,e82d697a-7e41-4b0b-8650-cd95d62f1e7a,1987.00250221795,8562.41015625
5125,16,521,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,2dab3a33-8a53-4a8b-a13b-e39ce4e192cc,9769.56298276186,119837.95703125
5126,17,528,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,f9d5f54a-6de8-4e39-b9c3-5cf49a0a739b,1789.23744468288,6169.6171875
5127,18,531,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,4177dce2-463c-4442-9c31-915a7507bd23,1050.68360480217,3530.0390625
5128,19,546,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,e77e6c96-11be-4c41-8d7c-6b8dca779e2c,126.827190733835,130.0234375
5129,20,547,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,248c10b1-ed88-4b44-9d2a-06b20dc896fd,54.5182919881195,115.96875
5130,21,549,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,bbc2c528-f73e-440a-82b9-5a76bedbc28d,73.1344460157012,86.9921875
5131,24,728,AE, ,T,735,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,acc2bac6-364b-4117-b6e5-2357798d4e62,396.044300306728,2754.4453125
5132,25,735,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,ea7ce7ea-7dda-40ea-aaae-535741a3a572,1270.259572891,3871.55859375
5133,26,1819,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,60023435-5ede-445c-be0f-2e24eec4c2be,31.5652508791989,6.76171875
5134,27,736,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,bec2ee53-4d4a-466c-9004-44561cf8a127,1984.54137239933,30890.671875
5135,28,774,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,40c59fc1-77b1-4e32-953e-70cf942be11b,44.035093637678,5.30078125
5136,29,786,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,15aa148e-fab4-4f76-9ebc-9422100b0537,421.202351341827,1404.29296875
5137,30,787,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,69a9a878-4040-4ebf-9496-5d035b427c3d,668.806347373039,1328.98828125
5138,31,792,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,f9fb3ce8-23a8-4652-a739-46ca5b0a078a,36.158717239451,15.27734375
5139,33,837,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,ee5681b3-11eb-4fed-8a3c-004995fc7177,555.905066935964,872.83203125
5140,34,841,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,9812507c-d5bc-49b9-9290-03b786816186,2380.18183288416,25559.671875
5141,37,1532,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1549536e-6603-412e-b19a-989316df06d0,116.059547473028,147.046875
5142,39,918,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,7aa6958b-66a6-4998-a040-ad38a066b42a,210.938637166297,97.99609375
5143,40,926,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,63098134-fb1e-4204-8b96-7e3ba83c03c5,282.681519502873,125.78515625
5144,41,939,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,616706a7-7f2f-4eee-b35b-6c2f031a3009,92.4929705895087,42.5625
5145,42,943,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,f93c2c60-c4eb-4659-89d8-de210b7c632b,581.425024869213,5596.26953125
5146,46,999,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,7d8a82a7-5ba2-4045-abc0-cd5283589525,123.331548630626,433.58984375
5147,47,1017,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,629e5961-bcc7-4167-8220-b4c7f10df012,658.168034863604,2923.36328125
5148,49,1075,AE, ,T,726,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,eacc4bb2-0751-4c40-9524-ba00a6446397,283.139671466594,598.71484375
5149,50,1080,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,b62323f6-c3ce-410d-9270-28099e633d34,953.844004659446,2382.46484375
5150,51,1549,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3235e47a-7feb-485c-a952-69b9d5e428ed,56.1471843938008,40.59765625
5151,52,1009,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3368d448-5dbc-46b3-bc51-a16eac26e619,3508.92337700141,86106.2421875
5152,53,1088,AE, ,T,728,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,2dec28f4-c043-4718-9f22-e92fefbdf060,552.956009722398,7834.15625
5153,54,1089,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,ce00efc3-f052-49de-a675-378d241692ed,305.12383952418,1316.48828125
5154,55,1091,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,10d0e5af-b4a8-41b9-9249-dc754713671e,1013.9943168145,1939.94921875
5155,58,1304,AE, ,T,727,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,8dcefb21-5200-4197-a1eb-a535eb1122c9,550.05652430415,4693.87890625
5156,59,1012,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,ecd51bbc-7039-475b-9721-434c9aa86b14,12306.4284109328,67938.2421875
5157,60,1093,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,84f743be-5010-49a8-bf65-adbb69a71ef3,708.827810040753,1329.69140625
5158,61,1095,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,f49a417b-eaf0-4237-a50e-76e3f3e0c701,482.313546166478,1267.1640625
5159,62,1100,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,a2bd6dc1-0a58-4f9c-aef9-f04562cd9505,105.686029201106,220.21484375
5160,63,1104,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,afceb9cf-7b98-461d-81ff-ce5f5c5e18db,117.969309773623,131.96875
5161,64,1107,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,7e4ba5f6-1bd5-4e6b-9006-6c7bab30517b,61.2642082150842,75.53125
5162,65,1116,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,59540797-5c09-4866-ad3f-e5a659f65e75,3487.25472536694,91999.8671875
5163,66,1197,AE, ,T,727,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,a36e809c-9069-478e-a33a-25593d4d84d1,626.850403040213,5399.015625
5164,67,1550,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1ec786cc-d42c-4bf4-8397-4c1f9e9951ae,37.8208529687253,40.10546875
5165,68,1117,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,12b18564-1897-4f29-b7d2-e87f48fe00dc,1874.08730407065,21388.5703125
5166,70,1199,AE, ,T,726,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,42913182-17a3-4f69-aa2a-bce975c342a2,246.375607761594,727.7578125
5167,71,1200,AE, ,T,726,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,7fb22e6a-007a-417b-8886-3ff296b74242,558.770580724656,1863.1328125
5168,72,1551,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,73312289-0942-42c6-99a6-7c8c3eb4af2f,55.7794976578413,35.98828125
5169,75,1205,AE, ,T,724,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,236240c1-3762-4cb5-9f37-7fe1d2e490ef,774.999862336344,15830.78125
5170,76,1235,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,28c22b72-43be-425b-a94c-2cb67a8a3972,126.769466697752,298.36328125
5171,77,1236,AE, ,T,726,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,6e40f963-a401-49f0-91b8-1b79fe52b299,232.966110955505,524.51171875
5172,78,1253,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,59e05c5a-7580-407c-ac11-a3590d8ae512,37.6431887367978,25.03515625
5173,79,1258,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,c80bf4f3-a42c-4e73-8323-8869c55e7a6c,31.4556315640474,14.37890625
5174,80,1274,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,f12177cb-a15a-4969-a3ac-0fc34e07fb1a,802.242732854887,1869.75
5175,81,1276,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,5c3fb51f-df42-4971-9a9e-45e16795b176,591.866233507665,1044.96484375
5176,82,1278,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,26ce7d49-c62b-4a2e-9ca4-1b5f2d2eaf78,62.6169196573453,127.1171875
5177,83,1345,AE, ,T,746,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,7bfba0cd-cfc0-426d-b03f-f41cfa7d5605,225.007364975447,1433.60546875
5178,84,1378,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,6bc5ba17-35ae-40ee-9533-27a1b865cc99,569.41913264363,1497.4765625
5179,85,1414,AE, ,T,742,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,d465934a-290d-40a1-92b5-6f66c280af74,801.072358723736,8572.19921875
5180,86,1418,AE, ,T,724,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,b2ea3332-dc14-4285-a8c9-92dacf5e90d7,474.892563558972,2419.265625
5181,87,1517,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,535eebd4-d1db-4552-9047-a4ce84580c36,707.480852842972,889.78515625
5182,88,1552,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,15f4a3b9-8fcc-41c3-b5af-52f2d6a7ff6a,91.1530707472508,35.42578125
5183,89,1485,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,cbdf72f5-f548-4bc0-a969-8c897f258db7,1087.94206105317,27909.796875
5184,90,1433,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,071e1cc3-c07d-452c-a7f0-81b056b63f89,5773.27299246199,187932.63671875
5185,91,1438,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,fd8243e3-1ab2-459f-a5c6-be834b690866,2272.70708560445,9711.5234375
5186,92,1440,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,152b75dc-bc60-40d0-8874-bb2676d2c44c,1101.81090058523,5316.84375
5187,93,1445,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,66c9b75d-d72c-44ec-bede-8f0804320056,214.785826030202,454.6015625
5188,94,1446,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,93e363e3-b4dd-47c0-a9a7-bf21025277e3,307.276579777859,443.9296875
5189,95,1447,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,23f174ac-807a-4a1d-a871-5d44b5d47974,416.88445641827,439.1484375
5190,96,1507,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,f10aaf52-9007-403e-b030-1d4463881ef9,793.855341507641,2834.46484375
5191,97,1434,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,816a53e3-17c1-4eed-8838-7254cc4712af,8291.43547218334,183229.015625
5192,98,1436,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,53f2eaa3-b5cc-4f53-af27-ac8473bf23d5,1876.18038564244,17389.7421875
5193,99,1488,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,918a2cc0-14b6-42aa-9314-3a3774598b79,526.061660449758,16640.39453125
5194,100,1814,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,9d20e97e-358c-4df0-aebb-f2123e249c25,32.8323668607839,10.06640625
